Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-12-20,Train to Busan,2016,https://boxd.it/867Aeb,4.5,,sad from a zombie movie,solo dolo,2024-12-19
2024-12-21,The Wicker Man,1973,https://boxd.it/86uqi9,3.5,,thought it was gonna be about baskets :(,,2024-12-20
2025-01-03,In the Mood for Love,2000,https://boxd.it/8hTgT9,5,Yes,nat king cole soundtrack been stuck in my head for about a week,fam,2025-01-02
2025-01-04,Batman Begins,2005,https://boxd.it/8iE01T,3,,why do we fall? so we can learn to pick ourselves back up again. batman begin,,2025-01-03
2025-01-04,The Dark Knight,2008,https://boxd.it/8iExUR,5,,was supposed to watch gladiator to go see gladiator two but watched batman begins in the morning and it made me feel nothing but a desire to watch batman 2,solo dolo,2025-01-03
2025-01-04,Gladiator II,2024,https://boxd.it/8iFASB,3.5,,shark in da coliseum 🦈🦈🦈,"w/ amelia, theater",2025-01-03
2025-01-04,Blade Runner,1982,https://boxd.it/8iGPVR,4.5,,if i was ridley scott i would make a remastered version where nothing changed except the fact that it takes place in 2019,w/ the parents,2025-01-03
2025-01-05,Past Lives,2023,https://boxd.it/8k2cDH,5,,mentioned the other day how i don’t cry at movies much #whoops #lying,,2025-01-04
2025-01-07,Inception,2010,https://boxd.it/8lYtEd,3,,this and interstellar are the two classic movies that i say i haven’t watched and people go “you haven’t watched that????? i thought you were a film guy!! ooohhhhhh you gotta watch it dude” so maybe my expectations were a bit high but it felt kinda juiceless for most of the runtime,solo dolo,2025-01-06
2025-01-07,Call Me by Your Name,2017,https://boxd.it/8mbKrL,4.5,,too much to say about this one to go on letterboxd sadly,,2025-01-06
2025-01-11,10 Things I Hate About You,1999,https://boxd.it/8qboUR,5,Yes,cant take my eyes off you scene should be put in a museum somewhere,,2025-01-10
2025-01-27,Airplane!,1980,https://boxd.it/8D4oY3,4,,all timer,"w/ avi, w/ harley, w/ hamraj",2025-01-26
2025-01-27,Casino Royale,2006,https://boxd.it/8D4vNB,4.5,,has all the juice,,2025-01-26
2025-02-15,Raising Arizona,1987,https://boxd.it/8Q562J,5,Yes,ordered whataburger and watched this movie then realized i last logged it 365 days ago. holiday created by villains as far as im concerned,,2025-02-15
2025-03-12,Blade Runner 2049,2017,https://boxd.it/96nLe7,5,,i love seeing david dastmalchian in stuff and going “ohhhh that’s the guy from that one scene in the dark knight what’s his name” and then i look him up after and remember his name,w/ the parents,2025-03-12
2025-05-14,The Royal Tenenbaums,2001,https://boxd.it/9GUiRf,4,,nice haircut luke wilson !,w/ amelia,2025-05-13
2025-06-05,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9TYSBH,3.5,,activated like a loser sleeper agent when i heard them say the bends,theater,2025-06-04
2025-06-14,Hot Tub Time Machine,2010,https://boxd.it/9ZXiLD,2,,it was all worth it for motley lue,,2025-06-14
2025-06-23,The Prestige,2006,https://boxd.it/a5Zc13,2.5,,r/im14andthisdeep?? idk maybe it’s me,airplane,2025-06-23
2025-06-23,Midnight in Paris,2011,https://boxd.it/a5ZhLP,4.5,,my type of movie!,airplane,2025-06-23
2025-06-23,Mickey 17,2025,https://boxd.it/a5Zl1r,4.5,,hell of a good time keep the voices up dude,,2025-06-23
2025-06-23,Now You See Me 2,2016,https://boxd.it/a5ZmQF,2.5,,later fast and furious movies are awesome for the inverse reason that this sucks,,2025-06-23
2025-06-23,How to Train Your Dragon,2025,https://boxd.it/a5Zshh,,,i hate like everything about the existence of these live action remakes but this one wasn’t bad,theater,2025-06-23
2025-07-12,Nightcrawler,2014,https://boxd.it/aiOxBr,3,,"what the hell he’s not literally me at all 

“video production news” awesome name man where’d you get it in the clearance bin at the name store",,2025-07-12
2025-07-24,Juror #2,2024,https://boxd.it/arM1xz,2.5,,reminded me of when my stupid awesome australia roommate would take two sets of leftover ingredients from meals we had previously made and just try using them. yeah peanut butter and jelly(12 angry men) is great and corn tortillas(anatomy of a fall) are yummy for taco night and they’re kinda similar-ish to bread but you can’t just throw them together and expect it to be a good pb&j or an interesting movie. fuck you will 2 and a half stars for the things you did on leftovers nights no sane human would think of the things you did,airplane,2025-07-23
2025-07-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/arMtLz,2.5,,i don’t like me watching movies turning into me psychoanalyzing directors but really hard for me to come away from this one without thinking that this movie exists bc tarantino is really insecure about a bunch of stuff. I had waaay too many thoughts on this one for a movie i don’t have a super strong opinion on and i can’t tell if it’s because i understood it and am not interested or because i didn’t understand it.,airplane,2025-07-23
2025-07-24,Jurassic Park,1993,https://boxd.it/arMFX3,4.5,,timeless! sometimes you gotta just play the hits,airplane,2025-07-23
2025-07-26,Chungking Express,1994,https://boxd.it/atLiNv,5,,"good lord wong kar wai is stupidly good at capturing all the melancholic feelings the world has to offer!! poetry in motion! 

faye wong is ridiculous here and perhaps my reading is wrong because i just got back from a few days in a city where i effectively spent most of my time alone listening to the same few songs, but i think she is perfectly capturing the anxieties/excitement/loneliness evoked by being surrounded by the hustle and bustle every day, a feeling parallel to both the relationships of both the main dudes we see devolve/evolve with their partners. there are more descriptive words to explain that but luckily i don’t need to spend the time figuring out what they are because WKW made this movie so you can just watch that(still slightly partial to in the mood for love over this one though). love how they use california dreamin but a 7 day t break from the mamas and the papas will unfortunately be necessary",w/ the parents,2025-07-25
2025-07-30,12 Angry Men,1957,https://boxd.it/ax7UEn,4.5,,henry fonda? damn right henry was fonda this movie,solo dolo,2025-07-29
2025-08-16,But I'm a Cheerleader,1999,https://boxd.it/aKo2bn,4.5,,hey this movie is pretty funny they got rupaul to be a strai WHOA isn’t that prince zuko,,2025-08-15
2025-08-18,Airplane!,1980,https://boxd.it/aM5myB,4,Yes,they just don’t make em like this anymore,,2025-08-17
2025-08-21,Weapons,2025,https://boxd.it/aO5KDX,4,,entire first half i was like no way this was made by the WKUK guy and the entire second half i was like okay this was obviously made by the WKUK guy,"w/ amelia, w/ annalise, w/ jaelyn, w/ eli",2025-08-20
2025-10-20,Soleil O,1970,https://boxd.it/bqJemn,4,,tough to be in a french class that’s def above my pay grade but at least i get to watch awesome movies,,2025-10-19
2025-11-11,2 or 3 Things I Know About Her,1967,https://boxd.it/bFZkLl,3.5,,"I think a lot of issues ppl have with this movie are related to the fact that it’s hard to not sound like a loser talking about it— felt like an amazing movie a lot of the time and also really on the nose at times (a lot of the points he made probably hit way harder in 1967 to be fair). Le film était très emblématique de l’esthétique sombre de la culture française dont je comprends malheuresement l’attrait(de rien, Dr. Bornet).",film 101,2025-11-10
2025-11-28,Indiana Jones and the Temple of Doom,1984,https://boxd.it/bRxsqx,4,,got stuck between the choice to rewatch this for the millionth time w my friends and watch the second austin powers for the first time w the fam. real tough spot to put me in the night before thanksgiving,,2025-11-27
2025-11-29,Superman,2025,https://boxd.it/bROES3,4,,"i have a lot to say about this one but tldr i liked it in spite of it being very much a james gunn movie 

some thoughts for the road 
-krypto and daisy would be friends 
-political commentary was about as thinly veiled as it gets but it’s pretty cool that a movie this big can say fuck israel 
-it was awesome when they killed netanyahu
-i remember watching the guardians movies and thinking they were super cool and unique stylistically and it made me so excited to watch more james gunn movies, but then they were all just guardians of the galaxy again 
-james gunn try not to make your fight scenes all look like that with upbeat music in the background challenge 
-all these actors rule!!",,2025-11-28
2025-12-02,La Haine,1995,https://boxd.it/bUtVN5,5,,"Might be a perfect movie-- been meaning to watch this for a while and finally got a good enough excuse to throw it on (had to watch it for french class). incredibly annoyed that I can't sit around and stew in this one for the rest of the night and that I won't be able to get into it on why this movie is awesome with my french prof pq i'm buns at french. 

not sure exactly what to take away from this one but the first thoughts that popped into my head(aside from 'oh holy shit') were that we see Vinz angry over Abdel at the start of the movie and its meant to seem excessive and a little crazy- he's a character we have no attachment to, so we brush off his anger. Then when Vinz is killed, he is someone we've learned about and now that same anger and shock is passed to the audience, who hope the gunshot at the end is Hubert killing the cop. 

Because we've put a face (and some sympathy) towards Vinz, the audience is aware of and possibly complicit in the hatred that is one of many roots of the cycle of banlieue violence. It would go totally against Hubert's character and beliefs to kill that cop. One of his strongest convictions in the movie was that hate breeds hate, and he was looking to leave the banlieue, believing it was making him crazy. He wanted to leave the vicious cycle, but in order for him to shoot the cop, he would be succumbing to it, someone with a plan to get out forced to go against his beliefs and reduced to another name in a violent headline. 

Despite that, the audience is forced to hope that that's the outcome, since as we see it, the only other option is death. We are meant to think 'Jusqu’ici tout va bien' as the movie progresses, simply taking in the environment and characters- it isn't taken by the film as much more than a passing thought, but Hubert is the only character who contemplates leaving, trying to avoid the craziness they are surrounded by. No one else acknowledges the situation they are stuck in, thinking only 'so far so good', and we are then made to hope Hubert has become a killer. IMO french movies are often built on engaging directly with the audience, something La Haine accomplishes by manipulating the viewer, pulling them into the hatred and violence it condemns. ",,2025-12-02
2025-12-04,The Wolf of Wall Street,2013,https://boxd.it/bVb7W5,3.5,,a real “yeah sure that’s fair” movie- amazingly written and acted but it didn’t make me go bananas. perhaps i am weak and feeble minded like that ogre reading ulysses,solo dolo,2025-12-03
2025-12-15,Wake Up Dead Man,2025,https://boxd.it/c3vkyn,5,,"insanely heat i love when i a movie is a lot of fun and is also able to have a good bit of substance 

religion is cool!",,2025-12-14
2025-12-20,Molly's Game,2017,https://boxd.it/c87VfT,2.5,,aaron sorkin is so lucky he made moneyball,,2025-12-19
2025-12-23,Bridesmaids,2011,https://boxd.it/cbqtM1,3,,ethical copaganda,fam,2025-12-22
2025-12-24,Don't Worry Darling,2022,https://boxd.it/cc92Of,1,,“hmmm im tired of all these good movies i wanna watch something that totally sucks and is terrible”,,2025-12-23
2025-12-24,Perfect Blue,1997,https://boxd.it/ccfxXf,5,,i would probably hit the character limit on letterboxd reviews before i could finish getting my thoughts out this might be one of my favorite things ive watched but hooo boy,,2025-12-23
2025-12-30,Nocturnal Animals,2016,https://boxd.it/cjxjqP,,,sometimes people just make movies because they don’t have much better to do but that’s okay,,2025-12-29
2025-12-30,Barbarian,2022,https://boxd.it/cjxnUp,4,,only real brontë heads get this i wish i watched this back when i could’ve written an essay about it for homework,,2025-12-29
2025-12-30,The Killing of a Sacred Deer,2017,https://boxd.it/cjxrxT,,,this movie made me feel hella doubtful,,2025-12-29
2025-12-30,Five Nights at Freddy's 2,2025,https://boxd.it/cjOgqV,1,,borderline unwatchable. i hope they make 8 more,,2025-12-29
2025-12-30,One Battle After Another,2025,https://boxd.it/cjOyXj,4.5,,heard rumblings of PTA winter i see the vision,"w/ amelia, w/ jaelyn",2025-12-29
2025-12-30,This Is Spinal Tap,1984,https://boxd.it/cjOKev,4,,very much a dad pick real heater tho,w/ the parents,2025-12-29
2025-12-31,The Naked Gun,2025,https://boxd.it/ckhaFX,4,,cam thomas and michael porter jr,,2025-12-30
2025-12-31,Interstellar,2014,https://boxd.it/ckWYAv,4,,theres a movie asshole angel and a devil on my shoulder and they’ve never argued harder about something i’ve watched,fam,2025-12-30
2026-01-02,Fallen Angels,1995,https://boxd.it/cnoC89,5,,"“I wish I could tell her some problems can't be solved over the phone. You meet the guy face to face and talk it out, or, if that fails, you punch him in the nose. Too bad I couldn't put it into words. But she seemed to somehow understand anyway.” 

i love wkw movies but always struggle to talk about them because they’re all about loneliness and normally some kind of failed romance which is sometimes interesting and sometimes an extremely tired subject. he almost beats you over the head with the subject at times, it is blunt and constant, but importantly(and somewhat miraculously) never repetitive. to me the wong kar wai treatment is him taking a unique angle to capture a deeply human feeling feeling of sadness, and still finding a bit of optimism in the cracks. he’s not at all someone who makes optimistic movies in my eyes but his ability to find a glimmer of comfort in something sad is unrivaled. he should direct every movie and get every award for the rest of time",,2026-01-01
2026-01-02,When Harry Met Sally...,1989,https://boxd.it/cnx4YN,4.5,,“i thought this harry guy was a real shithead but i guess he’s starting to come arou— WOAH that’s carrie fisher i didn’t even notice i had no clue she was in this”,,2026-01-02
2026-01-06,House,1977,https://boxd.it/ctFUoH,4,,where was the doctor,w/ amelia,2026-01-05
2026-01-08,Good Time,2017,https://boxd.it/cvNwwV,4,,some movies you just shouldn’t watch in the morning,,2026-01-07
2026-01-09,Persona,1966,https://boxd.it/cxcZON,5,,"maybe the best film ever made?? feels like it does everything possible and does it perfectly, the kind of movie that makes you want to make a movie",,2026-01-08
2026-01-26,Bugonia,2025,https://boxd.it/cQ01b9,4,,"i’ve only seen two of his movies, but yorgos is one of the only directors who i see making sorta high concept stuff where i can overlook being disinterested in what he’s saying thematically compared to stuff like style and aesthetic that i think he does way better. need to watch more his stuff so i can get a more informed opinion! girlfriend did not know who stavros was and i struggled to find the words that explain why i was so excited he’s in this lol",,2026-01-26
2026-01-29,Prospero's Books,1991,https://boxd.it/cSnH8l,,,?? good maybe? hard to fully get this one,,2026-01-28
2026-02-14,Hereditary,2018,https://boxd.it/d7praT,,,didn’t pull me in but also one i would be interested in rewatching so tough to review,,2026-02-13
2026-02-28,Zoolander,2001,https://boxd.it/dkH7BD,4,Yes,holy mog,,2026-02-27
2026-04-19,The Silence of the Lambs,1991,https://boxd.it/e28g0H,5,Yes,"first movie of a crazy double feature i think showing avi movies that make him tweak is my new favorite pastime 

was very appreciative upon rewatch of the fact that it felt like this movie was aggressively critiquing violence against women / misogyny and not reveling in it like a lot of worse modern stuff does","w/ avi, w/ evan, w/ ethan",2026-04-19
2026-04-19,Your Name.,2016,https://boxd.it/e28loz,4.5,Yes,second movie in the double feature nearly got whiplash from the switch in vibes but such a visually beautiful movie it’s so easy to get immersed,w/ amelia,2026-04-19
2026-05-02,Midsommar,2019,https://boxd.it/ecfZnv,3,,florence pugh is the cade cunningham of movies,,2026-05-01
2026-05-02,Longlegs,2024,https://boxd.it/ecmhVH,3,,your last name is camera 😭😭😭,,2026-05-02
2026-06-03,Blue Velvet,1986,https://boxd.it/eCAUhN,4.5,,watched this after finishing twin peaks season 1 and damn david lynch loves writing characters that cheat all the time and people in horrible situations at nightclubs but he’s kinda the goat,,2026-06-02
2026-06-16,Obsession,2025,https://boxd.it/eNQ5zR,4.5,,"girlfriend was enjoying the movie i was TWEAKED tf out the whole time

obviously really scary but this is one of the only movies i’ve watched and had a visceral reaction to, obviously possessed nikki is creepy but the presence of real nikki trying to push back and eventually giving up was the glue for 90% of the good horror (the initial jumpscare where she freaks tf out when in bed with him the first time is maybe the most i’ve ever jumped at a movie and just sets you up to be on the edge of your seat the entire movie, and the one of nikki sleeping toward the climax is probably the toughest to watch). 

horror centering on the loss of autonomy is nothing new, but the person doing it being a friend instead of like evilgod the demon from hell is a fun twist— bear is totally a victim here too but the way he misinterprets that victimhood is interesting. A much less compelling movie that i would want to see is if it wasn’t the fucked-up wish trope and nikki falls in normal love w bear but is still ‘trapped’ as possessed nikki. Bear clearly regrets making the wish almost immediately, but he neglects this bc he has what he wants until she cooks the cat etc etc. 

I think the thing that sat with me the most after leaving was wondering how that version would go, how nikki’s temporary freak-outs look, how bear reacts to it, if the people around them would still find it as weird as they do. idk if this is a hot take or not but i feel like that version, even if not as scary, retains about 90% of the stuff about this movie that freaked me the fuck out TLDR possession is freaky","w/ amelia, plaza, theater",2026-06-15
2026-07-21,Anatomy of a Fall,2023,https://boxd.it/fl1gRV,5,Yes,great movie but if you catch me on a day trip where i’m not in the mood for french people 1 star,,2026-07-20
2026-07-29,Glengarry Glen Ross,1992,https://boxd.it/fvjam9,4,,"“Don’t let yourself get attached anything you are not willing to walk out on in 30 seconds flat if you feel the Glengarry Glen Ross around the corner”

it definitely falls into the same category but is this <a href=""https://boxd.it/6LBEyH"" title=""Heatslop"">Heatslop</a> or a Heatgem?? My mom who was in attendance for this one was asleep for most of the first half but i liked it. Watching Alec Baldwin felt like i was tracing back the lineage of those instagram reels claude ai method guys to their first origins",w/ the parents,2026-07-28
2026-07-29,The Odyssey,2026,https://boxd.it/fvlxIB,4,,"i hear they just shoveled peptides and tren into matt damon like a duck for foie gras so that he’d look like that 

glad i did the nerd thing and saw this in 70mm imax because if not i might’ve put on the hater goggles and lab coat— was expecting nolan to deliver on narrative and spectacle and fall flat on dialogue but didn’t realize how polarized those ends would be (i might’ve been less annoyed by this but dear god i watched batman begins recently why do they talk the same in that). that said any movie that can make 3 hours in a theater go by quick is doing lotsa stuff right. tom holland why are you here quit or do something less successful",w/ amelia,2026-07-25
2026-08-01,The Bourne Identity,2002,https://boxd.it/fyHBN7,4,Yes,this movie rules so hard 13 year old me really was tapped in,,2026-07-31
